,จังหวัด,จำนวนสมาชิกสภาผู้แทนราษฎร,จำนวนเขตเลือกตั้ง,ท้องที่ที่ประกอบเป็นเขตเลือกตั้ง,ลำดับที่,เขตเลือกตั้งที่,interior,exterior,p_code,a_code
0,ตราด,1,1,ทั้งจังหวัด,1,1,,,23,23
1,นครนายก,1,1,ทั้งจังหวัด,2,1,,,26,26
2,พังงา,1,1,ทั้งจังหวัด,3,1,,,82,82
3,แม่ฮ่องสอน,1,1,ทั้งจังหวัด,4,1,,,58,58
4,ระนอง,1,1,ทั้งจังหวัด,5,1,,,85,85
5,สมุทรสงคราม,1,1,ทั้งจังหวัด,6,1,,,75,75
6,สิงห์บุรี,1,1,ทั้งจังหวัด,7,1,,,17,17
7,อ่างทอง,1,1,ทั้งจังหวัด,8,1,,,15,15
8,กระบี่,2,2,เมืองกระบี่,9,1,,,81,01
9,กระบี่,,,อ่าวลึก,9,1,,,81,05
10,กระบี่,,,ปลายพระยา,9,1,,,81,06
11,กระบี่,,,เขาพนม,9,1,"['หน้าเขา', 'เขาดิน']",,81,02
12,กระบี่,,,เหนือคลอง,9,2,,,81,08
13,กระบี่,,,คลองท่อม,9,2,,,81,04
14,กระบี่,,,เกาะลันตา,9,2,,,81,03
15,กระบี่,,,ลำทับ,9,2,,,81,07
16,กระบี่,,,เขาพนม,9,2,,"['หน้าเขา', 'เขาดิน']",81,02
17,ชัยนาท,2,2,เมืองชัยนาท,10,1,,,18,01
18,ชัยนาท,,,สรรพยา,10,1,,,18,04
19,ชัยนาท,,,มโนรมย์,10,1,,,18,02
20,ชัยนาท,,,วัดสิงห์,10,1,"['มะขามเฒ่า', 'หนองน้อย', 'หนองบัว', 'หนองขุ่น', 'เทศบาลตำบลวัดสิงห์']",,18,03
21,ชัยนาท,,,สรรคบุรี,10,2,,,18,05
22,ชัยนาท,,,หันคา,10,2,,,18,06
23,ชัยนาท,,,เนินขาม,10,2,,,18,08
24,ชัยนาท,,,หนองมะโมง,10,2,,,18,07
25,ชัยนาท,,,วัดสิงห์,10,2,,"['มะขามเฒ่า', 'หนองน้อย', 'หนองบัว', 'หนองขุ่น', 'เทศบาลตำบลวัดสิงห์']",18,03
26,บึงกาฬ,2,2,เมืองบึงกาฬ,11,1,,,38,01
27,บึงกาฬ,,,โซ่พิสัย,11,1,,,38,03
28,บึงกาฬ,,,ปากคาด,11,1,,,38,05
29,บึงกาฬ,,,บุ่งคล้า,11,1,,,38,08
30,บึงกาฬ,,,เซกา,11,2,,,38,04
31,บึงกาฬ,,,พรเจริญ,11,2,,,38,02
32,บึงกาฬ,,,ศรีวิไล,11,2,,,38,07
33,บึงกาฬ,,,บึงโขงหลง,11,2,,,38,06
34,แพร่,2,2,เมืองแพร่,12,1,,,54,01
35,แพร่,,,สอง,12,1,,,54,06
36,แพร่,,,ร้องกวาง,12,1,,,54,02
37,แพร่,,,หนองม่วงไข่,12,1,,,54,08
38,แพร่,,,สูงเม่น,12,2,,,54,04
39,แพร่,,,เด่นชัย,12,2,,,54,05
40,แพร่,,,ลอง,12,2,,,54,03
41,แพร่,,,วังชิ้น,12,2,,,54,07
42,ภูเก็ต,2,2,เมืองภูเก็ต,13,1,,"['เกาะแก้ว', 'ราไวย์', 'กะรน']",83,01
43,ภูเก็ต,,,ถลาง,13,2,,,83,03
44,ภูเก็ต,,,กะทู้,13,2,,,83,02
45,ภูเก็ต,,,เมืองภูเก็ต,13,2,"['เกาะแก้ว', 'ราไวย์', 'กะรน']",,83,01
46,มุกดาหาร,2,2,เมืองมุกดาหาร,14,1,"['มุกดาหาร', 'ศรีบุญเรือง', 'คำอาฮวน', 'ดงเย็น', 'บางทรายใหญ่', 'บ้านโคก', 'คำป่าหลาย', 'กุดแข้', 'นาสีนวน', 'โพนทราย']",,49,01
47,มุกดาหาร,,,ดอนตาล,14,1,,,49,03
48,มุกดาหาร,,,หว้านใหญ่,14,1,,,49,06
49,มุกดาหาร,,,เมืองมุกดาหาร,14,2,,"['มุกดาหาร', 'ศรีบุญเรือง', 'คำอาฮวน', 'ดงเย็น', 'บางทรายใหญ่', 'บ้านโคก', 'คำป่าหลาย', 'กุดแข้', 'นาสีนวน', 'โพนทราย']",49,01
50,มุกดาหาร,,,คำชะอี,14,2,,,49,05
51,มุกดาหาร,,,นิคมคำสร้อย,14,2,,,49,02
52,มุกดาหาร,,,ดงหลวง,14,2,,,49,04
53,มุกดาหาร,,,หนองสูง,14,2,,,49,07
54,ลำพูน,2,2,เมืองลำพูน,15,1,,,51,01
55,ลำพูน,,,แม่ทา,15,1,,,51,02
56,ลำพูน,,,บ้านธิ,15,1,,,51,07
57,ลำพูน,,,เวียงหนองล่อง,15,2,,,51,08
58,ลำพูน,,,บ้านโฮ่ง,15,2,,,51,03
59,ลำพูน,,,ทุ่งหัวช้าง,15,2,,,51,05
60,ลำพูน,,,ลี้,15,2,,,51,04
61,ลำพูน,,,ป่าซาง,15,2,,,51,06
62,สตูล,2,2,เมืองสตูล,16,1,,,91,01
63,สตูล,,,ควนโดน,16,1,,,91,02
64,สตูล,,,ควนกาหลง,16,1,['ทุ่งนุ้ย'],,91,03
65,สตูล,,,ควนกาหลง,16,2,,['ทุ่งนุ้ย'],91,03
66,สตูล,,,ละงู,16,2,,,91,05
67,สตูล,,,ท่าแพ,16,2,,,91,04
68,สตูล,,,ทุ่งหว้า,16,2,,,91,06
69,สตูล,,,มะนัง,16,2,,,91,07
70,อำนาจเจริญ,2,2,เมืองอำนาจเจริญ,17,1,,,37,01
71,อำนาจเจริญ,,,หัวตะพาน,17,1,,,37,06
72,อำนาจเจริญ,,,ปทุมราชวงศา,17,2,,,37,03
73,อำนาจเจริญ,,,ลืออำนาจ,17,2,,,37,07
74,อำนาจเจริญ,,,ชานุมาน,17,2,,,37,02
75,อำนาจเจริญ,,,เสนางคนิคม,17,2,,,37,05
76,อำนาจเจริญ,,,พนา,17,2,,,37,04
77,อุตรดิตถ์,2,2,เมืองอุตรดิตถ์,18,1,,,53,01
78,อุตรดิตถ์,,,ตรอน,18,1,,,53,02
79,อุตรดิตถ์,,,ลับแล,18,1,,,53,08
80,อุตรดิตถ์,,,พิชัย,18,2,,,53,07
81,อุตรดิตถ์,,,ทองแสนขัน,18,2,,,53,09
82,อุตรดิตถ์,,,ท่าปลา,18,2,,,53,03
83,อุตรดิตถ์,,,น้ำปาด,18,2,,,53,04
84,อุตรดิตถ์,,,ฟากท่า,18,2,,,53,05
85,อุตรดิตถ์,,,บ้านโคก,18,2,,,53,06
86,อุทัยธานี,2,2,เมืองอุทัยธานี,19,1,,,61,01
87,อุทัยธานี,,,หนองขาหย่าง,19,1,,,61,05
88,อุทัยธานี,,,ทัพทัน,19,1,,,61,02
89,อุทัยธานี,,,สว่างอารมณ์,19,1,,,61,03
90,อุทัยธานี,,,หนองฉาง,19,1,,"['ทุ่งโพ', 'เขากวางทอง', 'เขาบางแกรก']",61,04
91,อุทัยธานี,,,ลานสัก,19,2,,,61,07
92,อุทัยธานี,,,ห้วยคต,19,2,,,61,08
93,อุทัยธานี,,,บ้านไร่,19,2,,,61,06
94,อุทัยธานี,,,หนองฉาง,19,2,"['ทุ่งโพ', 'เขากวางทอง', 'เขาบางแกรก']",,61,04
95,จันทบุรี,3,3,เมืองจันทบุรี,20,1,,,22,01
96,จันทบุรี,,,แหลมสิงห์,20,1,,,22,06
97,จันทบุรี,,,ท่าใหม่,20,2,,,22,03
98,จันทบุรี,,,นายายอาม,20,2,,,22,09
99,จันทบุรี,,,แก่งหางแมว,20,2,,,22,08
100,จันทบุรี,,,เขาคิชฌกูฏ,20,2,,,22,10
101,จันทบุรี,,,โป่งน้ำร้อน,20,3,,,22,04
102,จันทบุรี,,,ขลุง,20,3,,,22,02
103,จันทบุรี,,,มะขาม,20,3,,,22,05
104,จันทบุรี,,,สอยดาว,20,3,,,22,07
105,ชุมพร,3,3,เมืองชุมพร,21,1,,"['วังใหม่', 'บ้านนา', 'หาดพันไกร', 'บางลึก', 'ถ้ำสิงห์']",86,01
106,ชุมพร,,,สวี,21,1,,"['เขาทะลุ', 'เขาค่าย']",86,07
107,ชุมพร,,,เมืองชุมพร,21,2,"['วังใหม่', 'บ้านนา', 'หาดพันไกร', 'บางลึก', 'ถ้ำสิงห์']",,86,01
108,ชุมพร,,,ท่าแซะ,21,2,,,86,02
109,ชุมพร,,,ปะทิว,21,2,,,86,03
110,ชุมพร,,,สวี,21,3,"['เขาทะลุ', 'เขาค่าย']",,86,07
111,ชุมพร,,,หลังสวน,21,3,,,86,04
112,ชุมพร,,,ละแม,21,3,,,86,05
113,ชุมพร,,,พะโต๊ะ,21,3,,,86,06
114,ชุมพร,,,ทุ่งตะโก,21,3,,,86,08
115,ตรัง,3,3,เมืองตรัง,22,1,,,92,01
116,ตรัง,,,นาโยง,22,1,,,92,08
117,ตรัง,,,ย่านตาขาว,22,1,"['นาชุมเห็ด', 'โพรงจระเข้']",,92,03
118,ตรัง,,,ห้วยยอด,22,2,,,92,06
119,ตรัง,,,รัษฎา,22,2,,,92,09
120,ตรัง,,,วังวิเศษ,22,2,,,92,07
121,ตรัง,,,สิเกา,22,2,,,92,05
122,ตรัง,,,กันตัง,22,2,['โคกยาง'],,92,02
123,ตรัง,,,กันตัง,22,3,,['โคกยาง'],92,02
124,ตรัง,,,ปะเหลียน,22,3,,,92,04
125,ตรัง,,,หาดสำราญ,22,3,,,92,10
126,ตรัง,,,ย่านตาขาว,22,3,,"['นาชุมเห็ด', 'โพรงจระเข้']",92,03
127,ตาก,3,3,เมืองตาก,23,1,,,63,01
128,ตาก,,,บ้านตาก,23,1,,"['ท้องฟ้า', 'เกาะตะเภา']",63,02
129,ตาก,,,วังเจ้า,23,1,,,63,09
130,ตาก,,,สามเงา,23,1,,,63,03
131,ตาก,,,แม่สอด,23,2,,"['แม่กาษา', 'ท่าสายลวด', 'แม่ปะ']",63,06
132,ตาก,,,พบพระ,23,2,,,63,07
133,ตาก,,,อุ้มผาง,23,2,,,63,08
134,ตาก,,,แม่สอด,23,3,"['แม่กาษา', 'ท่าสายลวด', 'แม่ปะ']",,63,06
135,ตาก,,,แม่ระมาด,23,3,,,63,04
136,ตาก,,,ท่าสองยาง,23,3,,,63,05
137,ตาก,,,บ้านตาก,23,3,"['ท้องฟ้า', 'เกาะตะเภา']",,63,02
138,น่าน,3,3,เมืองน่าน,24,1,,,55,01
139,น่าน,,,ภูเพียง,24,1,,,55,14
140,น่าน,,,ท่าวังผา,24,1,,,55,06
141,น่าน,,,เวียงสา,24,2,,,55,07
142,น่าน,,,นาน้อย,24,2,,,55,04
143,น่าน,,,นาหมื่น,24,2,,,55,10
144,น่าน,,,แม่จริม,24,2,,,55,02
145,น่าน,,,บ้านหลวง,24,2,,,55,03
146,น่าน,,,สันติสุข,24,2,,,55,11
147,น่าน,,,ปัว,24,3,,,55,05
148,น่าน,,,เชียงกลาง,24,3,,,55,09
149,น่าน,,,สองแคว,24,3,,,55,13
150,น่าน,,,บ่อเกลือ,24,3,,,55,12
151,น่าน,,,เฉลิมพระเกียรติ,24,3,,,55,15
152,น่าน,,,ทุ่งช้าง,24,3,,,55,08
153,ประจวบคีรีขันธ์,3,3,เมืองประจวบคีรีขันธ์,25,1,,,77,01
154,ประจวบคีรีขันธ์,,,กุยบุรี,25,1,,,77,02
155,ประจวบคีรีขันธ์,,,สามร้อยยอด,25,1,,,77,08
156,ประจวบคีรีขันธ์,,,หัวหิน,25,2,,,77,07
157,ประจวบคีรีขันธ์,,,ปราณบุรี,25,2,,,77,06
158,ประจวบคีรีขันธ์,,,ทับสะแก,25,3,,,77,03
159,ประจวบคีรีขันธ์,,,บางสะพาน,25,3,,,77,04
160,ประจวบคีรีขันธ์,,,บางสะพานน้อย,25,3,,,77,05
161,ปราจีนบุรี,3,3,เมืองปราจีนบุรี,26,1,,,25,01
162,ปราจีนบุรี,,,บ้านสร้าง,26,1,,,25,06
163,ปราจีนบุรี,,,ศรีมโหสถ,26,1,,,25,09
164,ปราจีนบุรี,,,ศรีมหาโพธิ,26,2,,,25,08
165,ปราจีนบุรี,,,ประจันตคาม,26,2,,,25,07
166,ปราจีนบุรี,,,กบินทร์บุรี,26,2,"['ลาดตะเคียน', 'หาดนางแก้ว', 'วังดาล', 'นนทรี', 'นาแขม']",,25,02
167,ปราจีนบุรี,,,นาดี,26,3,,,25,03
168,ปราจีนบุรี,,,กบินทร์บุรี,26,3,,"['ลาดตะเคียน', 'หาดนางแก้ว', 'วังดาล', 'นนทรี', 'นาแขม']",25,02
169,พะเยา,3,3,เมืองพะเยา,27,1,,,56,01
170,พะเยา,,,แม่ใจ,27,1,,,56,07
171,พะเยา,,,เชียงคำ,27,2,,,56,03
172,พะเยา,,,จุน,27,2,,,56,02
173,พะเยา,,,ภูซาง,27,2,,,56,08
174,พะเยา,,,ดอกคำใต้,27,3,,,56,05
175,พะเยา,,,ภูกามยาว,27,3,,,56,09
176,พะเยา,,,ปง,27,3,,,56,06
177,พะเยา,,,เชียงม่วน,27,3,,,56,04
178,พัทลุง,3,3,เมืองพัทลุง,28,1,,,93,01
179,พัทลุง,,,เขาชัยสน,28,1,,,93,03
180,พัทลุง,,,ควนขนุน,28,2,,,93,05
181,พัทลุง,,,ป่าพะยอม,28,2,,,93,10
182,พัทลุง,,,ศรีบรรพต,28,2,,,93,07
183,พัทลุง,,,ศรีนครินทร์,28,2,,,93,11
184,พัทลุง,,,ปากพะยูน,28,3,,,93,06
185,พัทลุง,,,ป่าบอน,28,3,,,93,08
186,พัทลุง,,,กงหรา,28,3,,,93,02
187,พัทลุง,,,ตะโหมด,28,3,,,93,04
188,พัทลุง,,,บางแก้ว,28,3,,,93,09
189,พิจิตร,3,3,เมืองพิจิตร,29,1,,,66,01
190,พิจิตร,,,สามง่าม,29,1,,,66,07
191,พิจิตร,,,วชิรบารมี,29,1,,,66,12
192,พิจิตร,,,ตะพานหิน,29,2,,,66,04
193,พิจิตร,,,ทับคล้อ,29,2,,,66,08
194,พิจิตร,,,ดงเจริญ,29,2,,,66,11
195,พิจิตร,,,วังทรายพูน,29,2,,,66,02
196,พิจิตร,,,สากเหล็ก,29,2,,,66,09
